Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,59,1N4148,
"H1, H2, H3, H4, H5, H6, H7",MountingHole_2.2mm_M2,7,MountingHole,
J11,SSD1306-0.91-OLED-4pin-128x32,1,Conn_01x04_Socket,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX28, MX29, MX3, MX30, MX31, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX43, MX44, MX45, MX46, MX49, MX5, MX55, MX56, MX57, MX58, MX59, MX6, MX7, MX8, MX9",MX-Alps-Hybrid-1U,48,MX,
"MX17, MX42, MX48, MX50, MX53, MX54",MX-Alps-Hybrid-1.25U,6,MX,
"MX27, MX32",MX-Alps-Hybrid-1.75U,2,MX,
MX47,MX-Alps-Hybrid-2U-Vertical,1,MX,
MX51,MX-Alps-Hybrid-2.75U-ReversedStabilizers,1,MX,
MX52,MX-Alps-Hybrid-2.25U-ReversedStabilizers,1,MX,
