Designator,Mid X,Mid Y,Rotation,Layer
D1,62.34,-122.8537,90.0,top
D10,233.79,-122.8537,90.0,top
D11,252.885,-122.8537,90.0,top
D12,271.89,-122.8537,90.0,top
D13,300.51,-122.8537,90.0,top
D14,319.515,-122.8537,90.0,top
D15,338.565,-122.8537,90.0,top
D16,357.615,-122.8537,90.0,top
D17,64.7213,-141.9037,90.0,top
D18,86.1525,-141.9037,90.0,top
D19,105.2025,-141.9037,90.0,top
D2,81.39,-122.8537,90.0,top
D20,124.2525,-141.9037,90.0,top
D21,143.3025,-141.9037,90.0,top
D22,162.3975,-141.9037,90.0,top
D23,181.4025,-141.9037,90.0,top
D24,200.4525,-141.9037,90.0,top
D25,219.5475,-141.9037,90.0,top
D26,238.5525,-141.9037,90.0,top
D27,264.7463,-141.9037,90.0,top
D28,300.51,-141.9037,90.0,top
D29,319.56,-141.9037,90.0,top
D3,100.44,-122.8537,90.0,top
D30,338.61,-141.9037,90.0,top
D31,357.66,-141.9037,90.0,top
D32,69.4838,-160.9537,90.0,top
D33,95.7225,-160.9537,90.0,top
D34,114.7725,-160.9537,90.0,top
D35,133.7775,-160.9537,90.0,top
D36,152.8275,-160.9537,90.0,top
D37,171.9225,-160.9537,90.0,top
D38,190.9725,-160.9537,90.0,top
D39,210.0225,-160.9537,90.0,top
D4,119.49,-122.8537,90.0,top
D40,229.0275,-160.9537,90.0,top
D41,248.0775,-160.9537,90.0,top
D42,269.5088,-160.9537,90.0,top
D43,276.6975,-165.7162,90.0,top
D44,300.51,-160.9537,90.0,top
D45,319.515,-160.9537,90.0,top
D46,338.61,-160.9537,90.0,top
D47,361.8525,-148.7282,0.0,top
D48,64.7213,-180.0037,90.0,top
D49,86.1525,-180.0037,90.0,top
D5,138.54,-122.8537,90.0,top
D50,107.5838,-180.0037,90.0,top
D51,154.1218,-181.5037,90.0,top
D52,201.7468,-181.5037,90.0,top
D53,226.6463,-180.0037,90.0,top
D54,250.4588,-180.0037,90.0,top
D55,257.6475,-184.7662,90.0,top
D56,276.6975,-184.7662,90.0,top
D57,295.7475,-184.7662,90.0,top
D58,319.56,-180.0037,90.0,top
D59,338.5875,-178.8131,90.0,top
D6,157.59,-122.8537,90.0,top
D7,176.64,-122.8537,90.0,top
D8,195.69,-122.8537,90.0,top
D9,214.74,-122.8537,90.0,top
J11,292.1975,-113.2556,270.0,top
MX1,52.8375,-119.0437,0.0,top
MX10,224.2875,-119.0437,0.0,top
MX11,243.3375,-119.0437,0.0,top
MX12,262.3875,-119.0437,0.0,top
MX13,310.0125,-119.0437,0.0,top
MX14,329.0625,-119.0437,0.0,top
MX15,348.1125,-119.0437,0.0,top
MX16,367.1625,-119.0437,0.0,top
MX17,55.2188,-138.0937,0.0,top
MX18,76.65,-138.0937,0.0,top
MX19,95.7,-138.0937,0.0,top
MX2,71.8875,-119.0437,0.0,top
MX20,114.75,-138.0937,0.0,top
MX21,133.8,-138.0937,0.0,top
MX22,152.85,-138.0937,0.0,top
MX23,171.9,-138.0937,0.0,top
MX24,190.95,-138.0937,0.0,top
MX25,210.0,-138.0937,0.0,top
MX26,229.05,-138.0937,0.0,top
MX27,255.2438,-138.0937,0.0,top
MX28,310.0125,-138.0937,0.0,top
MX29,329.0625,-138.0937,0.0,top
MX3,90.9375,-119.0437,0.0,top
MX30,348.1125,-138.0937,0.0,top
MX31,367.1625,-138.0937,0.0,top
MX32,59.9813,-157.1437,0.0,top
MX33,86.175,-157.1437,0.0,top
MX34,105.225,-157.1437,0.0,top
MX35,124.275,-157.1437,0.0,top
MX36,143.325,-157.1437,0.0,top
MX37,162.375,-157.1437,0.0,top
MX38,181.425,-157.1437,0.0,top
MX39,200.475,-157.1437,0.0,top
MX4,109.9875,-119.0437,0.0,top
MX40,219.525,-157.1437,0.0,top
MX41,238.575,-157.1437,0.0,top
MX42,260.0063,-157.1437,0.0,top
MX43,286.2,-161.9062,0.0,top
MX44,310.0125,-157.1437,0.0,top
MX45,329.0625,-157.1437,0.0,top
MX46,348.1125,-157.1437,0.0,top
MX47,367.1625,-166.6687,0.0,top
MX48,55.2188,-176.1937,0.0,top
MX49,76.65,-176.1937,0.0,top
MX5,129.0375,-119.0437,0.0,top
MX50,98.0813,-176.1937,0.0,top
MX51,136.1813,-176.1937,0.0,top
MX52,183.8063,-176.1937,0.0,top
MX53,217.1438,-176.1937,0.0,top
MX54,240.9563,-176.1937,0.0,top
MX55,267.15,-180.9562,0.0,top
MX56,286.2,-180.9562,0.0,top
MX57,305.25,-180.9562,0.0,top
MX58,329.0625,-176.1937,0.0,top
MX59,348.1125,-176.1937,0.0,top
MX6,148.0875,-119.0437,0.0,top
MX7,167.1375,-119.0437,0.0,top
MX8,186.1875,-119.0437,0.0,top
MX9,205.2375,-119.0437,0.0,top
